datetime,trading_date,type,break_direction,level,break_bar_close,break_magnitude_pips,break_magnitude_atr,trend_duration,session,hour_utc,sma_slope,atr_pips,max_continuation_pips,max_pullback_pips,followed_through_1atr,followed_through_2atr,positive_rr
2021-01-06 00:45:00,2021-01-05,bullish_bos,bullish,1.23031,1.23088,5.7,0.8544,1,Tokyo,0,3.6059999999982217,6.67,13.0,33.3,True,False,False
2021-01-06 01:30:00,2021-01-05,bearish_choch,bearish,1.22919,1.22888,3.1,0.3526,4,Tokyo,1,4.0640000000014,8.79,13.3,56.4,True,False,False
2021-01-06 02:45:00,2021-01-05,bearish_choch,bearish,1.2281,1.22787,2.3,0.2158,9,Tokyo,2,4.19200000000064,10.66,3.2,66.5,False,False,False
2021-01-06 04:15:00,2021-01-05,bullish_choch,bullish,1.22952,1.22972,2.0,0.197,2,Tokyo,4,3.801999999999417,10.15,48.0,6.8,True,True,True
2021-01-06 06:30:00,2021-01-05,bullish_bos,bullish,1.23064,1.23102,3.8,0.5401,7,Tokyo,6,1.7000000000000348,7.04,39.2,1.0,True,True,True
2021-01-06 11:15:00,2021-01-05,bullish_bos,bullish,1.23442,1.23468,2.6,0.2622,26,London,11,8.665999999999396,9.91,2.6,81.3,False,False,False
2021-01-06 13:45:00,2021-01-05,bearish_bos,bearish,1.23298,1.23194,10.4,1.0628,0,New_York,13,8.034000000001207,9.79,53.9,1.2,True,True,True
2021-01-06 15:45:00,2021-01-05,bearish_bos,bearish,1.22923,1.22822,10.1,0.6762,8,New_York,15,3.7080000000000446,14.94,16.7,57.6,True,False,False
2021-01-06 18:15:00,2021-01-05,bullish_choch,bullish,1.23041,1.23047,0.6,0.0527,18,Off_Hours,18,-0.2599999999985947,11.39,39.6,7.1,True,True,True
2021-01-06 20:00:00,2021-01-05,bullish_bos,bullish,1.23174,1.23291,11.7,1.0805,3,Off_Hours,20,-0.9999999999998899,10.83,15.2,7.4,True,False,True
2021-01-06 23:15:00,2021-01-06,bullish_bos,bullish,1.23312,1.23393,8.1,0.9659,16,Off_Hours,23,-1.3740000000006525,8.39,5.0,24.3,False,False,False
2021-01-07 02:00:00,2021-01-06,bearish_choch,bearish,1.23299,1.23269,3.0,0.4976,27,Tokyo,2,-1.4639999999999098,6.03,34.2,4.4,True,True,True
2021-01-07 04:00:00,2021-01-06,bullish_choch,bullish,1.23286,1.23305,1.9,0.3664,5,Tokyo,4,2.56800000000057,5.19,0.8,67.6,False,False,False
2021-01-07 05:00:00,2021-01-06,bearish_bos,bearish,1.23187,1.23184,0.3,0.061,9,Tokyo,5,6.209999999999827,4.92,73.4,7.1,True,True,True
2021-01-07 08:00:00,2021-01-06,bearish_bos,bearish,1.23072,1.22975,9.7,1.2609,21,London,8,1.8619999999991421,7.69,52.5,12.3,True,True,True
2021-01-07 09:00:00,2021-01-06,bearish_bos,bearish,1.22927,1.22856,7.1,0.7314,25,London,9,-1.3940000000012276,9.71,40.6,4.3,True,True,True
2021-01-07 14:00:00,2021-01-06,bullish_choch,bullish,1.22784,1.228,1.6,0.1579,45,New_York,14,-13.281999999998906,10.14,2.5,33.9,False,False,False
2021-01-07 18:30:00,2021-01-06,bullish_choch,bullish,1.22772,1.22776,0.4,0.0392,6,Off_Hours,18,-10.627999999999194,10.21,0.6,19.5,False,False,False
2021-01-07 20:30:00,2021-01-06,bearish_choch,bearish,1.2264,1.22636,0.4,0.0529,6,Off_Hours,20,-8.799999999999919,7.56,28.7,13.4,True,True,True
2021-01-08 00:30:00,2021-01-07,bearish_bos,bearish,1.22627,1.22598,2.9,0.5159,10,Tokyo,0,1.5579999999970617,5.62,24.9,8.3,True,True,True
2021-01-08 07:30:00,2021-01-07,bearish_choch,bearish,1.22568,1.22453,11.5,1.8358,7,Tokyo,7,-1.5499999999990521,6.26,32.1,27.5,True,True,True
2021-01-08 11:00:00,2021-01-07,bullish_bos,bullish,1.22447,1.22457,1.0,0.0838,21,London,11,-6.500000000000394,11.94,38.8,23.7,True,True,True
2021-01-08 13:30:00,2021-01-07,bullish_bos,bullish,1.22537,1.22715,17.8,1.9154,31,New_York,13,-2.5399999999997647,9.29,13.0,78.6,True,False,False
2021-01-08 15:15:00,2021-01-07,bearish_choch,bearish,1.22341,1.22249,9.2,0.5812,38,New_York,15,0.9640000000010751,15.83,32.0,38.4,True,True,False
2021-01-08 18:00:00,2021-01-07,bearish_bos,bearish,1.2222,1.22195,2.5,0.1491,6,Off_Hours,18,-3.980000000001205,16.76,37.4,8.9,True,True,True
2021-01-10 23:00:00,2021-01-10,bearish_choch,bearish,1.22118,1.22044,7.4,0.8795,1,Off_Hours,23,-2.8319999999992795,8.41,37.8,0.5,True,True,True
2021-01-11 01:15:00,2021-01-10,bearish_bos,bearish,1.21812,1.21765,4.7,0.4346,0,Tokyo,1,-11.572000000001914,10.81,9.9,16.8,False,False,False
2021-01-11 05:45:00,2021-01-10,bullish_choch,bullish,1.21803,1.21815,1.2,0.2129,18,Tokyo,5,-14.08599999999982,5.64,18.3,27.1,True,True,False
2021-01-11 08:00:00,2021-01-10,bullish_bos,bullish,1.21933,1.21962,2.9,0.3812,0,London,8,-5.804000000000364,7.61,3.6,56.9,False,False,False
2021-01-11 09:30:00,2021-01-10,bearish_choch,bearish,1.21767,1.21719,4.8,0.4739,6,London,9,-5.679999999999019,10.13,39.8,0.7,True,True,True
2021-01-11 12:00:00,2021-01-10,bearish_bos,bearish,1.21583,1.21567,1.6,0.164,2,London,12,-9.993999999999836,9.76,24.6,17.5,True,True,True
2021-01-11 13:15:00,2021-01-10,bearish_bos,bearish,1.21553,1.21552,0.1,0.0117,7,New_York,13,-6.497999999999227,8.57,23.1,19.0,True,True,True
2021-01-11 16:15:00,2021-01-10,bullish_choch,bullish,1.21579,1.21611,3.2,0.2567,19,New_York,16,-5.015999999999909,12.46,13.1,12.5,True,False,True
